,Date,Time,Date&Time,NO2 (ug/m3)
51,3/1/2019,3:00:00,3/1/2019 3:00,6
52,3/1/2019,4:00:00,3/1/2019 4:00,5
53,3/1/2019,5:00:00,3/1/2019 5:00,5
54,3/1/2019,6:00:00,3/1/2019 6:00,5
55,3/1/2019,7:00:00,3/1/2019 7:00,9
56,3/1/2019,8:00:00,3/1/2019 8:00,14
57,3/1/2019,9:00:00,3/1/2019 9:00,16
58,3/1/2019,10:00:00,3/1/2019 10:00,13
59,3/1/2019,11:00:00,3/1/2019 11:00,17
60,3/1/2019,12:00:00,3/1/2019 12:00,30
61,3/1/2019,13:00:00,3/1/2019 13:00,22
62,3/1/2019,14:00:00,3/1/2019 14:00,10
63,3/1/2019,15:00:00,3/1/2019 15:00,21
64,3/1/2019,16:00:00,3/1/2019 16:00,23
65,3/1/2019,17:00:00,3/1/2019 17:00,12
66,3/1/2019,18:00:00,3/1/2019 18:00,10
67,3/1/2019,19:00:00,3/1/2019 19:00,8
68,3/1/2019,20:00:00,3/1/2019 20:00,8
69,3/1/2019,21:00:00,3/1/2019 21:00,9
70,3/1/2019,22:00:00,3/1/2019 22:00,7
71,3/1/2019,23:00:00,3/1/2019 23:00,9
72,4/1/2019,0:00:00,4/1/2019 0:00,12
73,4/1/2019,1:00:00,4/1/2019 1:00,12
74,4/1/2019,2:00:00,4/1/2019 2:00,9
75,4/1/2019,3:00:00,4/1/2019 3:00,7
76,4/1/2019,4:00:00,4/1/2019 4:00,7
77,4/1/2019,5:00:00,4/1/2019 5:00,3
78,4/1/2019,6:00:00,4/1/2019 6:00,5
79,4/1/2019,7:00:00,4/1/2019 7:00,10
80,4/1/2019,8:00:00,4/1/2019 8:00,25
81,4/1/2019,9:00:00,4/1/2019 9:00,20
82,4/1/2019,10:00:00,4/1/2019 10:00,16
83,4/1/2019,11:00:00,4/1/2019 11:00,13
84,4/1/2019,12:00:00,4/1/2019 12:00,12
85,4/1/2019,13:00:00,4/1/2019 13:00,18
86,4/1/2019,14:00:00,4/1/2019 14:00,19
87,4/1/2019,15:00:00,4/1/2019 15:00,17
88,4/1/2019,16:00:00,4/1/2019 16:00,7
89,4/1/2019,17:00:00,4/1/2019 17:00,9
90,4/1/2019,18:00:00,4/1/2019 18:00,8
91,4/1/2019,19:00:00,4/1/2019 19:00,12
92,4/1/2019,20:00:00,4/1/2019 20:00,15
93,4/1/2019,21:00:00,4/1/2019 21:00,14
94,4/1/2019,22:00:00,4/1/2019 22:00,20
95,4/1/2019,23:00:00,4/1/2019 23:00,19
96,5/1/2019,0:00:00,5/1/2019 0:00,38
97,5/1/2019,1:00:00,5/1/2019 1:00,19
98,5/1/2019,2:00:00,5/1/2019 2:00,21
99,5/1/2019,3:00:00,5/1/2019 3:00,30
100,5/1/2019,4:00:00,5/1/2019 4:00,27
101,5/1/2019,5:00:00,5/1/2019 5:00,26
102,5/1/2019,6:00:00,5/1/2019 6:00,31
103,5/1/2019,7:00:00,5/1/2019 7:00,28
104,5/1/2019,8:00:00,5/1/2019 8:00,45
105,5/1/2019,9:00:00,5/1/2019 9:00,57
106,5/1/2019,10:00:00,5/1/2019 10:00,51
107,5/1/2019,11:00:00,5/1/2019 11:00,47
108,5/1/2019,12:00:00,5/1/2019 12:00,28
109,5/1/2019,13:00:00,5/1/2019 13:00,27
110,5/1/2019,14:00:00,5/1/2019 14:00,23
111,5/1/2019,15:00:00,5/1/2019 15:00,26
112,5/1/2019,16:00:00,5/1/2019 16:00,28
113,5/1/2019,17:00:00,5/1/2019 17:00,37
114,5/1/2019,18:00:00,5/1/2019 18:00,37
115,5/1/2019,19:00:00,5/1/2019 19:00,32
116,5/1/2019,20:00:00,5/1/2019 20:00,35
117,5/1/2019,21:00:00,5/1/2019 21:00,29
118,5/1/2019,22:00:00,5/1/2019 22:00,16
119,5/1/2019,23:00:00,5/1/2019 23:00,20
120,6/1/2019,0:00:00,6/1/2019 0:00,18
121,6/1/2019,1:00:00,6/1/2019 1:00,20
122,6/1/2019,2:00:00,6/1/2019 2:00,15
123,6/1/2019,3:00:00,6/1/2019 3:00,13
124,6/1/2019,4:00:00,6/1/2019 4:00,11
125,6/1/2019,5:00:00,6/1/2019 5:00,12
126,6/1/2019,6:00:00,6/1/2019 6:00,24
127,6/1/2019,7:00:00,6/1/2019 7:00,20
128,6/1/2019,8:00:00,6/1/2019 8:00,33
129,6/1/2019,9:00:00,6/1/2019 9:00,31
130,6/1/2019,10:00:00,6/1/2019 10:00,22
131,6/1/2019,11:00:00,6/1/2019 11:00,15
132,6/1/2019,12:00:00,6/1/2019 12:00,10
133,6/1/2019,13:00:00,6/1/2019 13:00,8
134,6/1/2019,14:00:00,6/1/2019 14:00,8
135,6/1/2019,15:00:00,6/1/2019 15:00,8
136,6/1/2019,16:00:00,6/1/2019 16:00,7
137,6/1/2019,17:00:00,6/1/2019 17:00,5
138,6/1/2019,18:00:00,6/1/2019 18:00,6
139,6/1/2019,19:00:00,6/1/2019 19:00,7
140,6/1/2019,20:00:00,6/1/2019 20:00,7
141,6/1/2019,21:00:00,6/1/2019 21:00,12
142,6/1/2019,22:00:00,6/1/2019 22:00,13
143,6/1/2019,23:00:00,6/1/2019 23:00,7
144,7/1/2019,0:00:00,7/1/2019 0:00,15
145,7/1/2019,1:00:00,7/1/2019 1:00,20
146,7/1/2019,2:00:00,7/1/2019 2:00,11
147,7/1/2019,3:00:00,7/1/2019 3:00,11
148,7/1/2019,4:00:00,7/1/2019 4:00,23
149,7/1/2019,5:00:00,7/1/2019 5:00,23
150,7/1/2019,6:00:00,7/1/2019 6:00,9
151,7/1/2019,7:00:00,7/1/2019 7:00,11
152,7/1/2019,8:00:00,7/1/2019 8:00,19
153,7/1/2019,9:00:00,7/1/2019 9:00,19
154,7/1/2019,10:00:00,7/1/2019 10:00,12
155,7/1/2019,11:00:00,7/1/2019 11:00,9
156,7/1/2019,12:00:00,7/1/2019 12:00,11
157,7/1/2019,13:00:00,7/1/2019 13:00,9
158,7/1/2019,14:00:00,7/1/2019 14:00,6
159,7/1/2019,15:00:00,7/1/2019 15:00,10
160,7/1/2019,16:00:00,7/1/2019 16:00,9
161,7/1/2019,17:00:00,7/1/2019 17:00,8
162,7/1/2019,18:00:00,7/1/2019 18:00,8
163,7/1/2019,19:00:00,7/1/2019 19:00,13
164,7/1/2019,20:00:00,7/1/2019 20:00,14
165,7/1/2019,21:00:00,7/1/2019 21:00,13
166,7/1/2019,22:00:00,7/1/2019 22:00,10
167,7/1/2019,23:00:00,7/1/2019 23:00,12
168,8/1/2019,0:00:00,8/1/2019 0:00,11
169,8/1/2019,1:00:00,8/1/2019 1:00,18
170,8/1/2019,2:00:00,8/1/2019 2:00,17
171,8/1/2019,3:00:00,8/1/2019 3:00,8
172,8/1/2019,4:00:00,8/1/2019 4:00,9
173,8/1/2019,5:00:00,8/1/2019 5:00,12
174,8/1/2019,6:00:00,8/1/2019 6:00,11
175,8/1/2019,7:00:00,8/1/2019 7:00,24
176,8/1/2019,8:00:00,8/1/2019 8:00,22
177,8/1/2019,9:00:00,8/1/2019 9:00,25
178,8/1/2019,10:00:00,8/1/2019 10:00,16
179,8/1/2019,11:00:00,8/1/2019 11:00,15
180,8/1/2019,12:00:00,8/1/2019 12:00,11
181,8/1/2019,13:00:00,8/1/2019 13:00,10
182,8/1/2019,14:00:00,8/1/2019 14:00,14
183,8/1/2019,15:00:00,8/1/2019 15:00,18
184,8/1/2019,16:00:00,8/1/2019 16:00,12
185,8/1/2019,17:00:00,8/1/2019 17:00,21
186,8/1/2019,18:00:00,8/1/2019 18:00,23
187,8/1/2019,19:00:00,8/1/2019 19:00,25
188,8/1/2019,20:00:00,8/1/2019 20:00,31
189,8/1/2019,21:00:00,8/1/2019 21:00,24
190,8/1/2019,22:00:00,8/1/2019 22:00,19
191,8/1/2019,23:00:00,8/1/2019 23:00,26
192,9/1/2019,0:00:00,9/1/2019 0:00,22
193,9/1/2019,1:00:00,9/1/2019 1:00,16
194,9/1/2019,2:00:00,9/1/2019 2:00,23
195,9/1/2019,3:00:00,9/1/2019 3:00,22
196,9/1/2019,4:00:00,9/1/2019 4:00,23
197,9/1/2019,5:00:00,9/1/2019 5:00,16
198,9/1/2019,6:00:00,9/1/2019 6:00,12
199,9/1/2019,7:00:00,9/1/2019 7:00,17
200,9/1/2019,8:00:00,9/1/2019 8:00,30
201,9/1/2019,9:00:00,9/1/2019 9:00,27
202,9/1/2019,10:00:00,9/1/2019 10:00,27
203,9/1/2019,11:00:00,9/1/2019 11:00,15
204,9/1/2019,12:00:00,9/1/2019 12:00,11
205,9/1/2019,13:00:00,9/1/2019 13:00,10
206,9/1/2019,14:00:00,9/1/2019 14:00,8
207,9/1/2019,15:00:00,9/1/2019 15:00,8
208,9/1/2019,16:00:00,9/1/2019 16:00,8
209,9/1/2019,17:00:00,9/1/2019 17:00,10
210,9/1/2019,18:00:00,9/1/2019 18:00,11
211,9/1/2019,19:00:00,9/1/2019 19:00,12
212,9/1/2019,20:00:00,9/1/2019 20:00,14
213,9/1/2019,21:00:00,9/1/2019 21:00,14
214,9/1/2019,22:00:00,9/1/2019 22:00,14
215,9/1/2019,23:00:00,9/1/2019 23:00,11
216,10/1/2019,0:00:00,10/1/2019 0:00,18
217,10/1/2019,1:00:00,10/1/2019 1:00,19
218,10/1/2019,2:00:00,10/1/2019 2:00,18
219,10/1/2019,3:00:00,10/1/2019 3:00,15
220,10/1/2019,4:00:00,10/1/2019 4:00,22
221,10/1/2019,5:00:00,10/1/2019 5:00,26
222,10/1/2019,6:00:00,10/1/2019 6:00,31
223,10/1/2019,7:00:00,10/1/2019 7:00,24
224,10/1/2019,8:00:00,10/1/2019 8:00,24
225,10/1/2019,9:00:00,10/1/2019 9:00,20
226,10/1/2019,10:00:00,10/1/2019 10:00,20
227,10/1/2019,11:00:00,10/1/2019 11:00,10
228,10/1/2019,12:00:00,10/1/2019 12:00,7
229,10/1/2019,13:00:00,10/1/2019 13:00,8
230,10/1/2019,14:00:00,10/1/2019 14:00,6
231,10/1/2019,15:00:00,10/1/2019 15:00,10
232,10/1/2019,16:00:00,10/1/2019 16:00,11
233,10/1/2019,17:00:00,10/1/2019 17:00,8
234,10/1/2019,18:00:00,10/1/2019 18:00,7
235,10/1/2019,19:00:00,10/1/2019 19:00,11
236,10/1/2019,20:00:00,10/1/2019 20:00,14
237,10/1/2019,21:00:00,10/1/2019 21:00,15
238,10/1/2019,22:00:00,10/1/2019 22:00,15
239,10/1/2019,23:00:00,10/1/2019 23:00,11
240,11/1/2019,0:00:00,11/1/2019 0:00,13
241,11/1/2019,1:00:00,11/1/2019 1:00,15
242,11/1/2019,2:00:00,11/1/2019 2:00,13
243,11/1/2019,3:00:00,11/1/2019 3:00,15
244,11/1/2019,4:00:00,11/1/2019 4:00,22
245,11/1/2019,5:00:00,11/1/2019 5:00,23
246,11/1/2019,6:00:00,11/1/2019 6:00,14
247,11/1/2019,7:00:00,11/1/2019 7:00,28
248,11/1/2019,8:00:00,11/1/2019 8:00,26
249,11/1/2019,9:00:00,11/1/2019 9:00,26
250,11/1/2019,10:00:00,11/1/2019 10:00,26
251,11/1/2019,11:00:00,11/1/2019 11:00,19
252,11/1/2019,12:00:00,11/1/2019 12:00,8
253,11/1/2019,13:00:00,11/1/2019 13:00,9
254,11/1/2019,14:00:00,11/1/2019 14:00,10
255,11/1/2019,15:00:00,11/1/2019 15:00,11
256,11/1/2019,16:00:00,11/1/2019 16:00,14
257,11/1/2019,17:00:00,11/1/2019 17:00,13
258,11/1/2019,18:00:00,11/1/2019 18:00,13
259,11/1/2019,19:00:00,11/1/2019 19:00,15
260,11/1/2019,20:00:00,11/1/2019 20:00,19
261,11/1/2019,21:00:00,11/1/2019 21:00,18
262,11/1/2019,22:00:00,11/1/2019 22:00,25
263,11/1/2019,23:00:00,11/1/2019 23:00,46
264,12/1/2019,0:00:00,12/1/2019 0:00,44
265,12/1/2019,1:00:00,12/1/2019 1:00,40
266,12/1/2019,2:00:00,12/1/2019 2:00,39
267,12/1/2019,3:00:00,12/1/2019 3:00,39
268,12/1/2019,4:00:00,12/1/2019 4:00,26
269,12/1/2019,5:00:00,12/1/2019 5:00,23
270,12/1/2019,6:00:00,12/1/2019 6:00,39
271,12/1/2019,7:00:00,12/1/2019 7:00,38
272,12/1/2019,8:00:00,12/1/2019 8:00,38
273,12/1/2019,9:00:00,12/1/2019 9:00,32
274,12/1/2019,10:00:00,12/1/2019 10:00,25
275,12/1/2019,11:00:00,12/1/2019 11:00,24
276,12/1/2019,12:00:00,12/1/2019 12:00,18
277,12/1/2019,13:00:00,12/1/2019 13:00,16
278,12/1/2019,14:00:00,12/1/2019 14:00,14
279,12/1/2019,15:00:00,12/1/2019 15:00,18
280,12/1/2019,16:00:00,12/1/2019 16:00,18
281,12/1/2019,17:00:00,12/1/2019 17:00,16
282,12/1/2019,18:00:00,12/1/2019 18:00,17
283,12/1/2019,19:00:00,12/1/2019 19:00,20
284,12/1/2019,20:00:00,12/1/2019 20:00,21
285,12/1/2019,21:00:00,12/1/2019 21:00,16
286,12/1/2019,22:00:00,12/1/2019 22:00,24
287,12/1/2019,23:00:00,12/1/2019 23:00,8
288,13/1/2019,0:00:00,13/1/2019 0:00,36
289,13/1/2019,1:00:00,13/1/2019 1:00,22
290,13/1/2019,2:00:00,13/1/2019 2:00,26
291,13/1/2019,3:00:00,13/1/2019 3:00,45
292,13/1/2019,4:00:00,13/1/2019 4:00,37
293,13/1/2019,5:00:00,13/1/2019 5:00,38
294,13/1/2019,6:00:00,13/1/2019 6:00,39
295,13/1/2019,7:00:00,13/1/2019 7:00,9
296,13/1/2019,8:00:00,13/1/2019 8:00,13
297,13/1/2019,9:00:00,13/1/2019 9:00,13
298,13/1/2019,10:00:00,13/1/2019 10:00,13
299,13/1/2019,11:00:00,13/1/2019 11:00,10
300,13/1/2019,12:00:00,13/1/2019 12:00,11
301,13/1/2019,13:00:00,13/1/2019 13:00,11
302,13/1/2019,14:00:00,13/1/2019 14:00,11
303,13/1/2019,15:00:00,13/1/2019 15:00,5
304,13/1/2019,16:00:00,13/1/2019 16:00,9
305,13/1/2019,17:00:00,13/1/2019 17:00,17
306,13/1/2019,18:00:00,13/1/2019 18:00,18
307,13/1/2019,19:00:00,13/1/2019 19:00,11
308,13/1/2019,20:00:00,13/1/2019 20:00,17
309,13/1/2019,21:00:00,13/1/2019 21:00,16
310,13/1/2019,22:00:00,13/1/2019 22:00,18
311,13/1/2019,23:00:00,13/1/2019 23:00,17
312,14/1/2019,0:00:00,14/1/2019 0:00,23
313,14/1/2019,1:00:00,14/1/2019 1:00,23
314,14/1/2019,2:00:00,14/1/2019 2:00,17
315,14/1/2019,3:00:00,14/1/2019 3:00,14
316,14/1/2019,4:00:00,14/1/2019 4:00,21
317,14/1/2019,5:00:00,14/1/2019 5:00,28
318,14/1/2019,6:00:00,14/1/2019 6:00,20
319,14/1/2019,7:00:00,14/1/2019 7:00,28
320,14/1/2019,8:00:00,14/1/2019 8:00,38
321,14/1/2019,9:00:00,14/1/2019 9:00,23
322,14/1/2019,10:00:00,14/1/2019 10:00,22
323,14/1/2019,11:00:00,14/1/2019 11:00,23
324,14/1/2019,12:00:00,14/1/2019 12:00,12
325,14/1/2019,13:00:00,14/1/2019 13:00,14
326,14/1/2019,14:00:00,14/1/2019 14:00,18
327,14/1/2019,15:00:00,14/1/2019 15:00,14
328,14/1/2019,16:00:00,14/1/2019 16:00,22
329,14/1/2019,17:00:00,14/1/2019 17:00,19
330,14/1/2019,18:00:00,14/1/2019 18:00,17
331,14/1/2019,19:00:00,14/1/2019 19:00,19
332,14/1/2019,20:00:00,14/1/2019 20:00,29
333,14/1/2019,21:00:00,14/1/2019 21:00,21
334,14/1/2019,22:00:00,14/1/2019 22:00,23
335,14/1/2019,23:00:00,14/1/2019 23:00,28
336,15/1/2019,0:00:00,15/1/2019 0:00,10
337,15/1/2019,1:00:00,15/1/2019 1:00,8
338,15/1/2019,2:00:00,15/1/2019 2:00,9
339,15/1/2019,3:00:00,15/1/2019 3:00,8
340,15/1/2019,4:00:00,15/1/2019 4:00,10
341,15/1/2019,5:00:00,15/1/2019 5:00,9
342,15/1/2019,6:00:00,15/1/2019 6:00,5
343,15/1/2019,7:00:00,15/1/2019 7:00,8
344,15/1/2019,8:00:00,15/1/2019 8:00,16
345,15/1/2019,9:00:00,15/1/2019 9:00,24
346,15/1/2019,10:00:00,15/1/2019 10:00,19
347,15/1/2019,11:00:00,15/1/2019 11:00,15
348,15/1/2019,12:00:00,15/1/2019 12:00,11
349,15/1/2019,13:00:00,15/1/2019 13:00,11
350,15/1/2019,14:00:00,15/1/2019 14:00,10
351,15/1/2019,15:00:00,15/1/2019 15:00,11
352,15/1/2019,16:00:00,15/1/2019 16:00,13
353,15/1/2019,17:00:00,15/1/2019 17:00,42
354,15/1/2019,18:00:00,15/1/2019 18:00,55
355,15/1/2019,19:00:00,15/1/2019 19:00,35
356,15/1/2019,20:00:00,15/1/2019 20:00,50
357,15/1/2019,21:00:00,15/1/2019 21:00,41
358,15/1/2019,22:00:00,15/1/2019 22:00,21
359,15/1/2019,23:00:00,15/1/2019 23:00,25
360,16/1/2019,0:00:00,16/1/2019 0:00,18
361,16/1/2019,1:00:00,16/1/2019 1:00,18
362,16/1/2019,2:00:00,16/1/2019 2:00,16
363,16/1/2019,3:00:00,16/1/2019 3:00,11
364,16/1/2019,4:00:00,16/1/2019 4:00,15
365,16/1/2019,5:00:00,16/1/2019 5:00,8
366,16/1/2019,6:00:00,16/1/2019 6:00,12
367,16/1/2019,7:00:00,16/1/2019 7:00,12
368,16/1/2019,8:00:00,16/1/2019 8:00,16
369,16/1/2019,9:00:00,16/1/2019 9:00,17
370,16/1/2019,10:00:00,16/1/2019 10:00,15
371,16/1/2019,11:00:00,16/1/2019 11:00,15
372,16/1/2019,12:00:00,16/1/2019 12:00,13
373,16/1/2019,13:00:00,16/1/2019 13:00,9
374,16/1/2019,14:00:00,16/1/2019 14:00,10
375,16/1/2019,15:00:00,16/1/2019 15:00,12
376,16/1/2019,16:00:00,16/1/2019 16:00,15
377,16/1/2019,17:00:00,16/1/2019 17:00,18
378,16/1/2019,18:00:00,16/1/2019 18:00,21
379,16/1/2019,19:00:00,16/1/2019 19:00,35
380,16/1/2019,20:00:00,16/1/2019 20:00,39
381,16/1/2019,21:00:00,16/1/2019 21:00,14
382,16/1/2019,22:00:00,16/1/2019 22:00,12
383,16/1/2019,23:00:00,16/1/2019 23:00,10
384,17/1/2019,0:00:00,17/1/2019 0:00,10
385,17/1/2019,1:00:00,17/1/2019 1:00,7
386,17/1/2019,2:00:00,17/1/2019 2:00,9
387,17/1/2019,3:00:00,17/1/2019 3:00,8
388,17/1/2019,4:00:00,17/1/2019 4:00,9
389,17/1/2019,5:00:00,17/1/2019 5:00,7
390,17/1/2019,6:00:00,17/1/2019 6:00,9
391,17/1/2019,7:00:00,17/1/2019 7:00,16
392,17/1/2019,8:00:00,17/1/2019 8:00,18
393,17/1/2019,9:00:00,17/1/2019 9:00,17
394,17/1/2019,10:00:00,17/1/2019 10:00,16
395,17/1/2019,11:00:00,17/1/2019 11:00,12
396,17/1/2019,12:00:00,17/1/2019 12:00,11
397,17/1/2019,13:00:00,17/1/2019 13:00,11
398,17/1/2019,14:00:00,17/1/2019 14:00,8
399,17/1/2019,15:00:00,17/1/2019 15:00,8
400,17/1/2019,16:00:00,17/1/2019 16:00,13
401,17/1/2019,17:00:00,17/1/2019 17:00,18
402,17/1/2019,18:00:00,17/1/2019 18:00,23
403,17/1/2019,19:00:00,17/1/2019 19:00,21
404,17/1/2019,20:00:00,17/1/2019 20:00,26
405,17/1/2019,21:00:00,17/1/2019 21:00,30
406,17/1/2019,22:00:00,17/1/2019 22:00,31
407,17/1/2019,23:00:00,17/1/2019 23:00,30
408,18/1/2019,0:00:00,18/1/2019 0:00,34
409,18/1/2019,1:00:00,18/1/2019 1:00,23
410,18/1/2019,2:00:00,18/1/2019 2:00,12
411,18/1/2019,3:00:00,18/1/2019 3:00,19
412,18/1/2019,4:00:00,18/1/2019 4:00,15
413,18/1/2019,5:00:00,18/1/2019 5:00,2
414,18/1/2019,6:00:00,18/1/2019 6:00,4
415,18/1/2019,7:00:00,18/1/2019 7:00,8
416,18/1/2019,8:00:00,18/1/2019 8:00,15
417,18/1/2019,9:00:00,18/1/2019 9:00,24
418,18/1/2019,10:00:00,18/1/2019 10:00,23
419,18/1/2019,11:00:00,18/1/2019 11:00,25
420,18/1/2019,12:00:00,18/1/2019 12:00,22
421,18/1/2019,13:00:00,18/1/2019 13:00,29
422,18/1/2019,14:00:00,18/1/2019 14:00,26
423,18/1/2019,15:00:00,18/1/2019 15:00,17
424,18/1/2019,16:00:00,18/1/2019 16:00,16
425,18/1/2019,17:00:00,18/1/2019 17:00,15
426,18/1/2019,18:00:00,18/1/2019 18:00,16
427,18/1/2019,19:00:00,18/1/2019 19:00,26
428,18/1/2019,20:00:00,18/1/2019 20:00,23
429,18/1/2019,21:00:00,18/1/2019 21:00,32
430,18/1/2019,22:00:00,18/1/2019 22:00,44
431,18/1/2019,23:00:00,18/1/2019 23:00,30
432,19/1/2019,0:00:00,19/1/2019 0:00,29
433,19/1/2019,1:00:00,19/1/2019 1:00,31
434,19/1/2019,2:00:00,19/1/2019 2:00,19
435,19/1/2019,3:00:00,19/1/2019 3:00,16
436,19/1/2019,4:00:00,19/1/2019 4:00,17
437,19/1/2019,5:00:00,19/1/2019 5:00,11
438,19/1/2019,6:00:00,19/1/2019 6:00,10
439,19/1/2019,7:00:00,19/1/2019 7:00,10
440,19/1/2019,8:00:00,19/1/2019 8:00,13
441,19/1/2019,9:00:00,19/1/2019 9:00,18
442,19/1/2019,10:00:00,19/1/2019 10:00,26
443,19/1/2019,11:00:00,19/1/2019 11:00,24
444,19/1/2019,12:00:00,19/1/2019 12:00,23
445,19/1/2019,13:00:00,19/1/2019 13:00,18
446,19/1/2019,14:00:00,19/1/2019 14:00,13
447,19/1/2019,15:00:00,19/1/2019 15:00,13
448,19/1/2019,16:00:00,19/1/2019 16:00,11
449,19/1/2019,17:00:00,19/1/2019 17:00,
450,19/1/2019,18:00:00,19/1/2019 18:00,
451,19/1/2019,19:00:00,19/1/2019 19:00,
452,19/1/2019,20:00:00,19/1/2019 20:00,22
453,19/1/2019,21:00:00,19/1/2019 21:00,21
454,19/1/2019,22:00:00,19/1/2019 22:00,18
455,19/1/2019,23:00:00,19/1/2019 23:00,10
456,20/1/2019,0:00:00,20/1/2019 0:00,11
457,20/1/2019,1:00:00,20/1/2019 1:00,10
458,20/1/2019,2:00:00,20/1/2019 2:00,8
459,20/1/2019,3:00:00,20/1/2019 3:00,9
460,20/1/2019,4:00:00,20/1/2019 4:00,12
461,20/1/2019,5:00:00,20/1/2019 5:00,11
462,20/1/2019,6:00:00,20/1/2019 6:00,10
463,20/1/2019,7:00:00,20/1/2019 7:00,9
464,20/1/2019,8:00:00,20/1/2019 8:00,15
465,20/1/2019,9:00:00,20/1/2019 9:00,16
466,20/1/2019,10:00:00,20/1/2019 10:00,11
467,20/1/2019,11:00:00,20/1/2019 11:00,5
468,20/1/2019,12:00:00,20/1/2019 12:00,5
469,20/1/2019,13:00:00,20/1/2019 13:00,7
470,20/1/2019,14:00:00,20/1/2019 14:00,6
471,20/1/2019,15:00:00,20/1/2019 15:00,5
472,20/1/2019,16:00:00,20/1/2019 16:00,5
473,20/1/2019,17:00:00,20/1/2019 17:00,6
474,20/1/2019,18:00:00,20/1/2019 18:00,10
475,20/1/2019,19:00:00,20/1/2019 19:00,12
476,20/1/2019,20:00:00,20/1/2019 20:00,14
477,20/1/2019,21:00:00,20/1/2019 21:00,15
478,20/1/2019,22:00:00,20/1/2019 22:00,14
479,20/1/2019,23:00:00,20/1/2019 23:00,20
480,21/1/2019,0:00:00,21/1/2019 0:00,8
481,21/1/2019,1:00:00,21/1/2019 1:00,5
482,21/1/2019,2:00:00,21/1/2019 2:00,4
483,21/1/2019,3:00:00,21/1/2019 3:00,8
484,21/1/2019,4:00:00,21/1/2019 4:00,4
485,21/1/2019,5:00:00,21/1/2019 5:00,5
486,21/1/2019,6:00:00,21/1/2019 6:00,5
487,21/1/2019,7:00:00,21/1/2019 7:00,11
488,21/1/2019,8:00:00,21/1/2019 8:00,22
489,21/1/2019,9:00:00,21/1/2019 9:00,23
490,21/1/2019,10:00:00,21/1/2019 10:00,20
491,21/1/2019,11:00:00,21/1/2019 11:00,13
492,21/1/2019,12:00:00,21/1/2019 12:00,8
493,21/1/2019,13:00:00,21/1/2019 13:00,7
494,21/1/2019,14:00:00,21/1/2019 14:00,6
495,21/1/2019,15:00:00,21/1/2019 15:00,10
496,21/1/2019,16:00:00,21/1/2019 16:00,20
497,21/1/2019,17:00:00,21/1/2019 17:00,18
